,Info,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red
,MatchID,Middle,Middle,Top,Top,ADC,ADC,Support,Support,Jungle,Jungle,Middle,Middle,Top,Top,ADC,ADC,Support,Support,Jungle,Jungle
,Address,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist
121,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210144?gameHash=00bad4da4d94bdbf,6,4,3,12,7,10,2,11,1,16,4,5,2,7,7,6,1,8,1,10
122,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220085?gameHash=5d1162b65434147d,3,11,11,10,3,10,0,14,4,9,1,5,4,2,4,1,0,7,0,5
123,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220097?gameHash=c970fe797f7c7fbc,2,5,3,4,6,3,1,7,1,6,9,9,4,12,5,9,1,11,5,9
124,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220119?gameHash=f64575c2b892654a,1,6,5,4,0,6,3,6,1,7,6,4,3,6,2,9,0,8,2,5
125,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220147?gameHash=970d17934a27fde4,5,6,9,6,4,9,4,15,1,12,1,2,2,2,2,2,1,4,1,6
126,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220154?gameHash=ce71491688291223,3,6,2,7,4,7,1,8,1,8,0,3,1,2,1,2,0,3,1,1
127,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230142?gameHash=3cbf3856b7ccd72e,5,16,4,7,10,13,1,19,4,15,8,7,5,6,3,13,0,15,3,12
128,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230143?gameHash=4ff786778f478000,0,11,7,6,8,4,1,10,3,6,10,9,2,11,5,9,6,10,3,15
129,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230150?gameHash=73672037cba176d3,5,12,4,14,11,8,1,19,3,20,3,8,8,6,4,10,1,10,1,7
130,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230162?gameHash=d68901bc63a8ff8d,5,8,3,9,5,5,0,12,5,11,4,11,7,11,7,10,3,13,2,17
131,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230170?gameHash=97582812c668144d,4,9,5,7,5,4,0,13,0,13,6,8,6,12,5,9,1,14,2,11
